season,week,team,games_played,epa_per_play,success_rate,explosive_rate,third_down_conv_rate,red_zone_td_rate,pass_rate,sack_rate,plays,pass_yards,rush_yards,turnovers,epa_total,allowed_epa_per_play,allowed_success_rate,pressure_sack_rate,takeaways,yards_per_play,passing_yards_per_attempt,rushing_yards_per_carry,total_players,qb_count,data_quality
2025,3,PIT,3,0.052813938801922755,0.012903225806451613,0.14,0.4,0.8,0.567741935483871,0.07368421052631578,155,598,189,4,8.186160514298027,-0.042251151041538204,0.9870967741935484,0.05714285714285714,6,5.077419354838709,6.795454545454546,2.8208955223880596,42,2,good
2025,3,BUF,3,0.3694453191942723,0.0297029702970297,0.14,0.4,0.8,0.5,0.0380952380952381,202,787,489,2,74.62795447724301,-0.29555625535541785,0.9702970297029703,0.04761904761904762,6,6.316831683168317,7.792079207920792,4.841584158415841,45,2,good
2025,3,NYJ,3,0.016690072995649088,0.012269938650306749,0.14,0.4,0.8,0.49079754601226994,0.10112359550561797,163,498,381,2,2.7204818982908012,-0.01335205839651927,0.9877300613496932,0.05714285714285714,4,5.392638036809816,6.225,4.590361445783133,46,2,good
2025,3,CLE,3,-0.19909657097395878,0.02577319587628866,0.14,0.4,0.8,0.6649484536082474,0.044444444444444446,194,650,260,4,-38.624734768948,0.15927725677916704,0.9742268041237113,0.10476190476190476,2,4.690721649484536,5.038759689922481,4.0,45,2,good
2025,3,ARI,3,0.16340817832722343,0.030120481927710843,0.14,0.4,0.8,0.536144578313253,0.07291666666666667,166,542,334,2,27.12575760231909,-0.13072654266177874,0.9698795180722891,0.02857142857142857,2,5.27710843373494,6.089887640449438,4.337662337662338,47,2,good
2025,3,LA,3,0.19599816320282476,0.022727272727272728,0.14,0.4,0.8,0.5397727272727273,0.05,176,739,381,3,34.49567672369716,-0.1567985305622598,0.9772727272727273,0.11428571428571428,4,6.363636363636363,7.778947368421052,4.703703703703703,37,1,good
2025,3,NYG,3,-0.03311040901623817,0.0055248618784530384,0.14,0.4,0.8,0.6077348066298343,0.05982905982905983,181,778,288,4,-5.992984031939109,0.026488327212990537,0.994475138121547,0.06666666666666667,2,5.889502762430939,7.072727272727272,4.056338028169014,43,2,good
2025,3,SF,3,0.18501283547219702,0.015228426395939087,0.14,0.4,0.8,0.583756345177665,0.041666666666666664,197,840,269,4,36.44752858802281,-0.14801026837775763,0.9847715736040609,0.04761904761904762,4,5.629441624365482,7.304347826086956,3.2804878048780486,45,2,good
2025,3,WAS,3,0.19830467358292844,0.028409090909090908,0.14,0.4,0.8,0.5284090909090909,0.07920792079207921,176,640,472,1,34.901622550595405,-0.15864373886634275,0.9715909090909091,0.04285714285714286,1,6.318181818181818,6.881720430107527,5.686746987951807,45,2,good
2025,3,NO,3,-0.04899272683230767,0.005,0.14,0.4,0.8,0.605,0.047244094488188976,200,639,307,1,-9.798545366461534,0.039194181465846134,0.995,0.07619047619047618,2,4.73,5.2809917355371905,3.8860759493670884,47,2,good
